timestamp,event_type,key_or_button,x,y
374,mouse_move,,699.5859375,422.390625
379,mouse_move,,697.77734375,426.0
387,mouse_move,,695.51171875,429.16796875
395,mouse_move,,693.10546875,433.01171875
403,mouse_move,,690.69921875,436.85546875
412,mouse_move,,688.29296875,440.69921875
419,mouse_move,,679.921875,452.87109375
427,mouse_move,,673.15625,461.6640625
436,mouse_move,,667.06640625,471.1328125
444,mouse_move,,659.73828125,482.12109375
452,mouse_move,,653.39453125,492.6875
460,mouse_move,,645.0234375,504.859375
468,mouse_move,,637.6953125,516.578125
476,mouse_move,,629.32421875,528.75
484,mouse_move,,621.99609375,540.46875
492,mouse_move,,613.625,552.640625
500,mouse_move,,605.25390625,564.8125
508,mouse_move,,596.8828125,576.984375
517,mouse_move,,589.2734375,589.9140625
525,mouse_move,,580.59375,603.32421875
533,mouse_move,,571.9140625,616.734375
541,mouse_move,,562.4453125,629.35546875
549,mouse_move,,553.765625,642.765625
557,mouse_move,,545.39453125,654.9375
565,mouse_move,,542.17578125,660.30078125
573,mouse_move,,535.83203125,670.8671875
581,mouse_move,,530.41796875,680.3359375
590,mouse_move,,525.00390625,689.8046875
598,mouse_move,,520.46484375,698.87890625
606,mouse_move,,515.92578125,707.953125
614,mouse_move,,512.203125,716.015625
622,mouse_move,,508.3125,725.08984375
630,mouse_move,,505.34765625,732.7890625
638,mouse_move,,502.2421875,741.47265625
646,mouse_move,,496.71875,756.4609375
654,mouse_move,,494.79296875,760.78515625
662,mouse_move,,491.55078125,770.5078125
670,mouse_move,,488.5859375,778.20703125
678,mouse_move,,486.328125,784.9765625
686,mouse_move,,485.05078125,787.94921875
695,mouse_move,,483.5234375,793.03125
703,mouse_move,,480.55859375,800.73046875
711,mouse_move,,479.5390625,805.8125
719,mouse_move,,478.57421875,810.13671875
727,mouse_move,,478.0625,815.21875
735,mouse_move,,477.55078125,820.30078125
743,mouse_move,,477.55078125,823.2734375
751,mouse_move,,477.55078125,827.59765625
759,mouse_move,,477.55078125,831.21875
768,mouse_move,,477.55078125,834.19140625
776,mouse_move,,477.55078125,836.5703125
